FID,country_name,site_name,borehole_name,permafrost_zone,longitude,latitude,elevation,depth,geom_ref,data_start,data_end,responsible_person,responsible_person_name,id_orga
tsp.1173,United States,Franklin Bluff,Franklin Bluffs,Continuous,-148.75,69.8333,76.4672,10,POINT (-148.75 69.83333333),,,99,Doug L. Kane,56
tsp.1174,Antarctica,Sanae Base,Flarjuven Bluff 2,Continuous,-3.3921,-72.0172,1234.4066,0.6,POINT (-3.39205994 -72.01722811),,,35,Ian Meiklejohn,17
tsp.1175,Antarctica,Sanae Base,Robertskollen,Continuous,-3.3271,-71.4805,283.7934,0.6,POINT (-3.32710815 -71.48052812),,,35,Ian Meiklejohn,17
tsp.1176,Antarctica,Sanae Base,Schumacherfjellet,Continuous,-2.9702,-71.9057,955.1923,0.6,POINT (-2.97019346 -71.90571192),,,35,Ian Meiklejohn,17
tsp.1177,Antarctica,Sanae Base,Valterkulten,Continuous,-3.2291,-71.8976,974.6311,0.6,POINT (-3.22905881 -71.89760631),,,35,Ian Meiklejohn,17
tsp.1178,Antarctica,Sanae Base,Grunehogna Peaks,Continuous,-2.7858,-72.0497,1290.6119,0.6,POINT (-2.78582914 -72.04974478),,,35,Ian Meiklejohn,17
tsp.1179,Antarctica,Sanae Base,Slettfjell,Continuous,-3.2747,-72.1388,1416.0336,0.6,POINT (-3.27472074 -72.13883309),,,35,Ian Meiklejohn,17
tsp.1180,Antarctica,Troll Station,Troll Station 2,Continuous,2.5323,-72.0113,1326.1985,2,POINT (2.53227251 -72.01127977),,,35,Ian Meiklejohn,17
tsp.1181,Russia,Khanovey,Khanovey-1,Continuous,63.6531,67.2929,103.2298,4.8,POINT (63.653053 67.292862),2015,2015,167,Vladislav Isaev,65
tsp.1182,Russia,Khanovey,Khanovey-2,Continuous,63.6524,67.293,103.2298,5.8,POINT (63.652378 67.293007),2015,2015,167,Vladislav Isaev,65
tsp.1183,Russia,Khanovey,Khanovey-3,Continuous,63.6562,67.2923,98.3663,5.3,POINT (63.656231 67.292313),2015,2015,167,Vladislav Isaev,65
tsp.1184,Russia,Khanovey,Khanovey-4,Continuous,63.6479,67.2949,113.3141,0.5,POINT (63.6479 67.29489),2015,2015,167,Vladislav Isaev,65
tsp.1185,United States,Seward Peninsula,Rhonda Basin,Continuous,-164.4809,66.5653,66.5268,3,POINT (-164.48087 66.5653),2011,2012,168,Guido Grosse,42
tsp.1186,United States,Seward Peninsula,Rhonda Upland,Continuous,-164.4616,66.5588,31.2683,3,POINT (-164.46158 66.55882),2008,2012,168,Guido Grosse,42
tsp.1187,United States,Seward Peninsula,Shishmaref SE,Continuous,-165.5465,66.1012,35.6263,3.4,POINT (-165.54651 66.10123),,,168,Guido Grosse,42
tsp.1188,United States,Seward Peninsula,Last Bridge,Continuous,-164.6554,65.3905,91.3111,3,POINT (-164.65541 65.39049),2012,2013,168,Guido Grosse,42
tsp.1189,United States,Seward Peninsula,Kuzitin River,Discontinuous,-164.8285,65.2295,15.8276,4.65,POINT (-164.82846 65.2295),2012,2015,168,Guido Grosse,42
tsp.1190,United States,Seward Peninsula,Mary\\\'s Igloo East,Discontinuous,-164.6988,65.1065,31.5342,1.9,POINT (-164.69878 65.10648),2012,2015,168,Guido Grosse,42
tsp.1191,United States,Seward Peninsula,Salmon Lake,Discontinuous,-165.0539,64.9081,192.8109,2.85,POINT (-165.05385 64.90814),2012,2015,168,Guido Grosse,42
tsp.1192,Svalbard,Svalbard ,Bayelva (Ny Ålesund),Continuous,11.8334,78.9209,25,9,POINT (11.83345 78.92086),2009,2015,71,Julia Boike,42
